layer,n,sx,sy,groups,stride,wi,hi,ci,wo,ho,co,mac
conv,32,3,3,1,2,224,224,3,112,112,32,10838016
conv,32,1,1,1,1,112,112,32,112,112,32,12845056
conv,32,3,3,32,1,112,112,32,112,112,32,3612672
conv,16,1,1,1,1,112,112,32,112,112,16,6422528
conv,96,1,1,1,1,112,112,16,112,112,96,19267584
conv,96,3,3,96,2,112,112,96,56,56,96,2709504
conv,24,1,1,1,1,56,56,96,56,56,24,7225344
conv,144,1,1,1,1,56,56,24,56,56,144,10838016
conv,144,3,3,144,1,56,56,144,56,56,144,4064256
conv,24,1,1,1,1,56,56,144,56,56,24,10838016
conv,144,1,1,1,1,56,56,24,56,56,144,10838016
conv,144,3,3,144,2,56,56,144,28,28,144,1016064
conv,32,1,1,1,1,28,28,144,28,28,32,3612672
conv,192,1,1,1,1,28,28,32,28,28,192,4816896
conv,192,3,3,192,1,28,28,192,28,28,192,1354752
conv,32,1,1,1,1,28,28,192,28,28,32,4816896
conv,192,1,1,1,1,28,28,32,28,28,192,4816896
conv,192,3,3,192,1,28,28,192,28,28,192,1354752
conv,32,1,1,1,1,28,28,192,28,28,32,4816896
conv,192,1,1,1,1,28,28,32,28,28,192,4816896
conv,192,3,3,192,1,28,28,192,28,28,192,1354752
conv,64,1,1,1,1,28,28,192,28,28,64,9633792
conv,384,1,1,1,1,28,28,64,28,28,384,19267584
conv,384,3,3,384,1,28,28,384,28,28,384,2709504
conv,64,1,1,1,1,28,28,384,28,28,64,19267584
conv,384,1,1,1,1,28,28,64,28,28,384,19267584
conv,384,3,3,384,1,28,28,384,28,28,384,2709504
conv,64,1,1,1,1,28,28,384,28,28,64,19267584
conv,384,1,1,1,1,28,28,64,28,28,384,19267584
conv,384,3,3,384,1,28,28,384,28,28,384,2709504
conv,64,1,1,1,1,28,28,384,28,28,64,19267584
conv,384,1,1,1,1,28,28,64,28,28,384,19267584
conv,384,3,3,384,2,28,28,384,14,14,384,677376
conv,96,1,1,1,1,14,14,384,14,14,96,7225344
conv,576,1,1,1,1,14,14,96,14,14,576,10838016
conv,576,3,3,576,1,14,14,576,14,14,576,1016064
conv,96,1,1,1,1,14,14,576,14,14,96,10838016
conv,576,1,1,1,1,14,14,96,14,14,576,10838016
conv,576,3,3,576,1,14,14,576,14,14,576,1016064
conv,96,1,1,1,1,14,14,576,14,14,96,10838016
conv,576,1,1,1,1,14,14,96,14,14,576,10838016
conv,576,3,3,576,2,14,14,576,7,7,576,254016
conv,160,1,1,1,1,7,7,576,7,7,160,4515840
conv,960,1,1,1,1,7,7,160,7,7,960,7526400
conv,960,3,3,960,1,7,7,960,7,7,960,423360
conv,160,1,1,1,1,7,7,960,7,7,160,7526400
conv,960,1,1,1,1,7,7,160,7,7,960,7526400
conv,960,3,3,960,1,7,7,960,7,7,960,423360
conv,160,1,1,1,1,7,7,960,7,7,160,7526400
conv,960,1,1,1,1,7,7,160,7,7,960,7526400
conv,960,3,3,960,1,7,7,960,7,7,960,423360
conv,320,1,1,1,1,7,7,960,7,7,320,15052800
conv,1280,1,1,1,1,7,7,320,7,7,1280,20070400
conv,1000,1,1,1,1,1,1,1280,1,1,1000,1280000
